"Employeurs ayant obtenu une Étude d'impact sur le marché du travail (EIMT) positive en 2016, par classification nationale des professions (CNP) 2011 et lieu d’affaires",,,,
Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,"Postes Approuvés
"
,Leeward Enterprises,"Clarenville, NL A5A 1K5",3112-Omnipraticiens et médecins en médecine familiale,1
,Lester's Dairy Farm,"St. John's, NL A1E 6J4",8431-Ouvriers agricoles,1
,Lester's Farm Market,"Mount Pearl, NL A1N 2C4",8431-Ouvriers agricoles,10
,Letto's Enterprises Ltd.,"L'anse au Clair, NL A0K 3K0",6311-Superviseurs des services alimentaires,1
,,,6312-Gouvernants principaux,1
,,,6322-Cuisiniers,1
,Little Peoples Workshop,"St. John's, NL A1E 5C3",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Lower Churchill Management Corp.,"St. John's, NL A1A 4E1",2131-Ingénieurs civils,3
,M &.P. Dairy Farm Ltd.,"Goulds, NL A1S 1G2","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Marmaris Holdings Inc.,"St. John's, NL A1A 5C9",6322-Cuisiniers,2
,Memorial University Of Newfoundland and Labrador,"St. John's, NL A1C 5S7",4011-Professeurs et chargés de cours au niveau universitaire,3
,Merlo Associates Inc,"St. John's, NL A1B 3P9",6322-Cuisiniers,1
,Metroworth Consulting (Canada) Ltd.,"St. John's, NL A1N 3K4",8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,1
,Michele's Childcare,"Torbay, NL A1K 0G2",4411-Gardiens d'enfants en milieu familial,1
,Mila Foods Inc.,"St John's, NL A1E 1T2",6311-Superviseurs des services alimentaires,2
,Mom's Place Limited,"Happy Valley-Goose Bay, NL A0P 1C0",6322-Cuisiniers,1
,NARL Refining Ltd Partnership,"Come By Chance, NL A0B 1N0",911-Directeurs de la fabrication,3
,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-Ouvriers agricoles,6
,Newfoundland & Labrador Hydro,"St. John's, NL A1B 4K7",711-Directeurs de la construction,1
,Newont Limited,"St. John's, NL A1E 2C5",6311-Superviseurs des services alimentaires,2
,Norlab Limited,"Happy Valley-Goose Bay, NL A0P 1E0",6311-Superviseurs des services alimentaires,2
,Normie's Enterprises Inc,"Corner Brook, NL A2H 6T2",6322-Cuisiniers,3
,O'Reilly's Irish Bar Inc.,"St. John's, NL A1C 5J9",6322-Cuisiniers,2
,Paradise Daycare 2009 Inc.,"Paradise, NL A0A 2E0",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Peter's Pizza,"Conception Bay South, NL A1W 3A4",6322-Cuisiniers,2
,Pure Energy Services Partnership,"St. John's, NL A1C 5V5",2212-Technologues et techniciens en géologie et en minéralogie,1
,Red Indian Adventures Limited,"Grand Falls-Winsor, NL A2A 2K2",6316-Surveillants des autres services,1
,Robbins Hearing Service Inc.,"St. John's, NL A1B 4S8",3141-Audiologistes et orthophonistes,1
,ROM Group Limited,"Torbay, NL A1K 1K9",6322-Cuisiniers,3
,Schlumberger Canada Limited,"Mount Pearl, NL A1N 5B1",8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,2
,Seadrill Canada Ltd.,"St. John's, NL A1E 0E4",811-Directeurs de l'exploitation des ressources naturelles et de la pêche,1
,,,2145-Ingénieurs de l'extraction et du raffinage du pétrole,2
,,,2241-Technologues et techniciens en génie électronique et électrique,5
,,,2273-Officiers de pont du transport par voies navigables,1
,,,2274-Officiers mécaniciens du transport par voies navigables,2
,,,8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,2
,,,8232-Foreurs et personnel de mise à l'essai et des autres services reliés à l'extraction de pétrole et de gaz,4
,Solace Power Incorporated,"Mount Pearl, NL A1N 5E7",2133-Ingénieurs électriciens et électroniciens,1
,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",711-Directeurs de la construction,3
,,,1221-Agents d'administration,3
,,,2145-Ingénieurs de l'extraction et du raffinage du pétrole,2
,,,2154-Arpenteurs-géomètres,8
,,,2232-Technologues et techniciens en génie mécanique,7
,,,2255-Personnel technique en géomatique et en météorologie,21
,,,2273-Officiers de pont du transport par voies navigables,11
,,,2274-Officiers mécaniciens du transport par voies navigables,13
,,,6322-Cuisiniers,3
,,,6513-Serveurs d'aliments et de boissons,11
,,,7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,,7242-Électriciens industriels,5
,,,7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,18
,,,7311-Mécaniciens de chantier et mécaniciens industriels,3
,,,7371-Grutiers,8
,,,7532-Matelots de pont et matelots de salle des machines du transport par voies navigables,13
,Sunrise Dairy Limited,"Musgravetown, NL A0C 1Z0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,Torbay Fun Foods Ltd.,"St. John's, NL A1A 4L6",6322-Cuisiniers,2
,Vale Newfoundland and Labrador Limited,"St. John's, NL A1C 1K4","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,West End Foods Limited oa Jungle Jims,"St. John's, NL A1B 4J9",6322-Cuisiniers,2
,,"St. John's, NL A1E 2E3",6322-Cuisiniers,3
,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",3111-Médecins spécialistes,8
,,,3112-Omnipraticiens et médecins en médecine familiale,2
,WorleyParsons Canada Services Ltd.,"St. John's, NL A1E 1E2",711-Directeurs de la construction,1
,,,2232-Technologues et techniciens en génie mécanique,1
,,,2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,,2241-Technologues et techniciens en génie électronique et électrique,2
,,,"2263-Inspecteurs de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",1
,Yellow Belly Brewery Ltd,"St. John's, NL A1C 5J9",6322-Cuisiniers,2
Île-du-Prince-Édouard,6497942 Canada Inc.,"Charlottetown, PE C1A 6H7",6311-Superviseurs des services alimentaires,2
,7035233 Canada Inc,"Mount Stewart, PE C0A 1T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,Acadian Supreme Inc.,"Wellington, PE C0B 2E0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,24
,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",5
,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",822-Gestionnaires en horticulture,2
,,,8432-Ouvriers de pépinières et de serres,9
,Beach Point Processing Company,"Beach Point, PE C0A 1V0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,100
,Belle River Enterprises Ltd.,"Belle River, PE C0A 1B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,10
,Birch Farms Limited,"Summerside, PE C1N 4J9",8431-Ouvriers agricoles,2
,Birkentree Holsteins Inc.,"Hunter River, PE C0A 1N0",8431-Ouvriers agricoles,1
,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-Ouvriers agricoles,14
,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Conducteurs de camions de transport,20
,Captain Cooke's Seafood Inc.,"Borden-Carleton, PE C0B 1X0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,10
,Carruthers Farms Ltd.,"Kensington, PE C0B 1M0",8431-Ouvriers agricoles,3
,Cedar's Eatery,"Charlottetown, PE C1A 4L1",6322-Cuisiniers,1
,Claddagh Holdings Inc.,"Charlottetown, PE C1A 1G5",6322-Cuisiniers,1
,Eastern Exporters Limited,"Souris, PE C0A 2B0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,,8431-Ouvriers agricoles,6
,Eastern Farms Ltd,"Vernon River, PE C0A 2E0",8431-Ouvriers agricoles,24
,Extondale Farms Ltd.,"Oyster Bed, PE C1E 1Z4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,FR Enterprises Inc.,"Charlottetown, PE C1A 8Y3",6322-Cuisiniers,1
,Frizzell's Valleyville Farm Inc.,"Hunter River, PE C0A 1N0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,Great Enlightenment Buddhist Institute Society,"Little Sands, PE C0A 1W0","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,,5244-Artisans,5
,Hartshire Community Care Inc.,"Clyde River, PE C0A 1H1","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",1
,Health PEI,"Charlottetown, PE C1A 7N8",3111-Médecins spécialistes,1
,,,3112-Omnipraticiens et médecins en médecine familiale,3
,HillTop Produce Ltd,"Kinkora, PE C0B 1N0",8431-Ouvriers agricoles,2
,,,8611-Manoeuvres à la récolte,2
,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",8431-Ouvriers agricoles,3
,Jewell's of PEI Inc,"York, PE C0A 1P0",8431-Ouvriers agricoles,9
,Jewell's Produce,"York, PE C0A 1P0",8431-Ouvriers agricoles,18
,Kildare Fisheries Ltd.,"Alberton, PE C0B 1B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,41
,Kinkora Holdings Inc,"Kinkora, PE C0B 1N0",8611-Manoeuvres à la récolte,4
,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",8431-Ouvriers agricoles,1
,MGS Holdings & Distribution Co Ltd,"Alberton, PE C0B 1B0",8431-Ouvriers agricoles,48
,Newland Farms Inc.,"Hunter River, PE C0A 1N0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Nobra Holsteins Inc.,"Kensington, PE C0B 1M0",8431-Ouvriers agricoles,3
,"North Lake Fisheries (2013), Inc.","Souris, PE C0A 2B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,20
,PEI Select Tours Inc,"North Rustico, PE C0A 1X0",6531-Guides touristiques et guides itinérants,3
,Richie Foods,"Charlottetown, PE C1A 4N5",6311-Superviseurs des services alimentaires,1
,Royal Star Foods Ltd.,"Tignish, PE C0B 2B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,30
,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,102
,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Conducteurs de camions de transport,10
,Silver Hill Fur Farm Ltd.,"Tignish, PE C0B 2B0",8431-Ouvriers agricoles,6
,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,79
,,,9618-Manoeuvres dans la transformation du poisson et des fruits de mer,28
,Splendid Essence Restaurant Inc.,"Charlottetown, PE C1A 4R9",6322-Cuisiniers,1
,The Prince Edward Family Restaurant,"Charlottetown, PE C1A 4L5",6322-Cuisiniers,1
,Tourism Industry Association of Prince Edward Island,"Charlottetown, PE C1A 4A2","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",2
,van Diepen Produce Ltd,"Morell, PE C0A 1S0",8431-Ouvriers agricoles,14
,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-Ouvriers agricoles,83
,,,8611-Manoeuvres à la récolte,4
,W P Griffin Inc,"Elmsdale, PE C0B 1K0",8431-Ouvriers agricoles,10
,Winterbay Farm Inc.,"Millcove, PE C0A 1T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,2122277 NS Ltd,"Kentville, NS B4N 3W4",6322-Cuisiniers,3
,3026021 Nova Scotia Ltd.,"Antigonish, NS B2G 2C5",6322-Cuisiniers,1
,3056092 Nova Scotia Ltd.,"Upper Tantallon, NS B3Z 1H3",6322-Cuisiniers,1
,3074889 Nova Scotia Ltd.,"Port Hawkesbury, NS B9A 2C2",6311-Superviseurs des services alimentaires,2
,3099794 NS Ltd (Enfield Big Stop),"Enfield, NS B2T 1C8",6322-Cuisiniers,4
,3115695 Nova Scotia Ltd.,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,10
,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,177
,3243020 Nova Scotia Limited,"Halifax, NS B3J 2J6",6322-Cuisiniers,8
,3265524 Nova Scotia Ltd.,"Hubley, NS B3Z 1C1",6322-Cuisiniers,1
,3266726 Nova Scotia Limited,"Bedford, NS B4A 3Y4",6322-Cuisiniers,3
,3278591 Nova Scotia Ltd.,"Westphal, NS B2Z 1B1","6562-Esthéticiens, électrolystes et personnel assimilé",1
,3290067 Nova Scotia Limited,"Halifax, NS B3M 2Y6",213-Gestionnaires des systèmes informatiques,1
,3291087 Nova Scotia Limited,"Bridgewater, NS B4V 2V6",6322-Cuisiniers,1
,3297327 Nova Scotia Ltd.,"Musquodoboit Harbour, NS B0J 2L0","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,3298056 Nova Scotia Ltd,"Bedford, NS B4A 4M1","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,,"16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,,911-Directeurs de la fabrication,1
,7109938 Canada Ltd,"Fall River, NS B2T 1H7",6341-Coiffeurs et barbiers,1
,A & D Services Ltd,"New Minas, NS B4N 3K9",6322-Cuisiniers,2
,"Aaron's Canada, ULC","Halifax, NS B3J 2V1","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Acuren Group Inc,"Dartmouth, NS B2Y 4P4","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",5
,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,78
,Arirang Restaurant Inc,"Halifax, NS B3M 3W8",6322-Cuisiniers,1
,Athletigen Technologies Inc.,"Halifax, NS B3J 3K5",2173-Ingénieurs et concepteurs en logiciel,1
,"B&G Innkeepers, Ltd.","Halifax, NS B3K 2R9",6322-Cuisiniers,1
,Baan Thai Restaurant Ltd,"Halifax, NS B3J 1J7",6322-Cuisiniers,1
,Backoos Korean Togo Food Ltd,"Halifax, NS B3J 2J2",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,2
,Balamore Farm Ltd,"Great Village, NS B0M 1L0",8431-Ouvriers agricoles,14
,Barlomento Property Services,"Halifax, NS B3M 3Y5",1221-Agents d'administration,1
,Basinview Farms,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,14
,Bione Restaurant Inc.,"Halifax, NS B3L 1A5",6322-Cuisiniers,3
,Birchleigh Farms Ltd,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,16
,Bitar's Pizza Pasta & Grill Ltd.,"Elmsdale, NS B2S 1A8",6322-Cuisiniers,2
,Blue Ridge Farm,"Grafton, NS B0P 1V0",8431-Ouvriers agricoles,4
,Bluemont Group Ltd.,"Fall River, NS B2T 1W8",6322-Cuisiniers,1
,"Bluenose Brewing Company, Inc","Lunenburg, NS B0J 2C0","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,Bragg Lumber Co Ltd,"Collingwood, NS B0M 1E0",8431-Ouvriers agricoles,5
,Burnott Limited,"New Glasgow, NS B2H 3S4",6311-Superviseurs des services alimentaires,3
,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,14
,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-Ouvriers agricoles,24
,Classic Freight Systems (2011) Ltd.,"Dartmouth, NS B3N 1N8",7511-Conducteurs de camions de transport,4
,Clearwater Seafoods Limited Partnership,"Lunenburg, NS B0J 2C0",7242-Électriciens industriels,2
,CloudKettle Inc.,"Halifax, NS B3L 2W1",2174-Programmeurs et développeurs en médias interactifs,1
,Coastal Pizza Company Inc.,"Halifax, NS B3S 1B3",6322-Cuisiniers,2
,Comvest Commercial Reas Estate Inc.,"Halifax, NS B3J 3E5",6322-Cuisiniers,1
,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,61
,Crisp Growers Inc.,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,12
,Dalhousie University,"Halifax, NS B3H 4R2",3111-Médecins spécialistes,2
,,,4011-Professeurs et chargés de cours au niveau universitaire,6
,Darrell's Restaurant 5576 Fenwick Limited,"Halifax, NS B3H 1P8",6322-Cuisiniers,2
,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8432-Ouvriers de pépinières et de serres,9
,den Haan Enterprises Ltd,"Lawrencetown, NS B0S 1M0",8432-Ouvriers de pépinières et de serres,22
,Devonian Coast Wineries Limited,"Malagash, NS B0K 1E0",911-Directeurs de la fabrication,1
,DONDAR HOLDINGS LTD,"Halifax, NS B3S 1B7",7322-Débosseleurs et réparateurs de carrosserie,3
,Doraku Foods Ltd,"Halifax, NS B3J 2A4",6322-Cuisiniers,1
,Double Dragon Restaurant Inc.,"New Minas, NS B4N 3E2",6322-Cuisiniers,1
,eEye Inc.,"Halifax, NS B3J 2N4",6221-Spécialistes des ventes techniques - commerce de gros,1
,El Centro Pizza,"Lawrencetown, NS B2Z 1L2",6322-Cuisiniers,1
,"Elite Balsam Products, Inc","St Andrews, NS B0H 1X0",8432-Ouvriers de pépinières et de serres,6
,Ellslea Farms Limited,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,3
,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,27
,EM&I Stantec Ltd.,"Dartmouth, NS B3B 1S1",2261-Vérificateurs et essayeurs des essais non destructifs,3
,Eyking Brothers Farm Ltd,"Millville, NS B1Y 2E2",8431-Ouvriers agricoles,20
,Eyking Under Glass Ltd,"Millville, NS B1Y 2E1",8432-Ouvriers de pépinières et de serres,6
,Farnell Packaging Ltd,"Dartmouth, NS B3B 1L3",9214-Surveillants dans la fabrication de produits en caoutchouc et en plastique,1
,Forca Training Centre,"Dartmouth, NS B2W 5G7","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,Fox Harb'r Development Limited,"Wallace, NS B0K 1Y0",6321-Chefs,2
,Fresh Casual Restaurants Inc Fredericton o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cuisiniers,2
,Fresh Casual Restaurants Inc. Charlottetown o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cuisiniers,2
,Fresh Casual Restaurants Inc. Dieppe o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cuisiniers,4
,Fuller Brothers,"Avonport, NS B0P 1B0",8431-Ouvriers agricoles,10
,Funsion Enterprises Ltd.,"Halifax, NS B3J 3Z2",6211-Superviseurs des ventes - commerce de détail,1
,Future Stars' Learning Centre,"Halifax, NS B3S 1G5",4214-Éducateurs et aides-éducateurs de la petite enfance,2
,G & C Hughes Enterprises Ltd,"New Ross, NS B0J 2M0",8431-Ouvriers agricoles,8
,,,8432-Ouvriers de pépinières et de serres,23
,G. K. Morse Trucking Ltd.,"Centreville, NS B0P 1J0",7511-Conducteurs de camions de transport,4
,Gabadi Services Canada Inc.,"Halifax, NS B3J 3N2",7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques,7
,Garden View Restaurant Ltd,"Dartmouth, NS B2X 1S2",6322-Cuisiniers,1
,Good Air Ventilation System Inc.,"Halifax, NS B3J 2G1",621-Directeurs - commerce de détail et de gros,1
,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",7511-Conducteurs de camions de transport,4
,H B Morse & Son,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,15
,Halifax ALTA Gymnastics Club,"Halifax, NS B3L 4T7",5252-Entraîneurs,1
,Halifax Glassworks Limited,"Halifax, NS B3J 2P8",5244-Artisans,1
,Halterm Container Terminal Limited Partnership,"Halifax, NS B3J 2X1",1122-Professionnels des services-conseils en gestion aux entreprises,1
,Health Outcomes Worldwide Inc,"New Waterford, NS B1H 4K4",2173-Ingénieurs et concepteurs en logiciel,1
,HGC Transport Ltd. (1445913 Ontario Inc.),"Halifax, NS B3J 3N2",7511-Conducteurs de camions de transport,4
,Hillside Orchards,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,12
,Immigration Consultant Atlantic Ltd.,"Halifax, NS B3J 3N2",6552-Autres préposés aux services d'information et aux services à la clientèle,1
,Imp Group Limited,"Amherst, NS B4H 4J6","2244-Mécaniciens, techniciens et contrôleurs d'avionique et d'instruments et d'appareillages électriques d'aéronefs",1
,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",6
,,,113-Directeurs des achats,2
,,,211-Directeurs des services de génie,1
,,,711-Directeurs de la construction,5
,,,714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,,,911-Directeurs de la fabrication,12
,,,2132-Ingénieurs mécaniciens,4
,,,"2148-Autres ingénieurs, n.c.a.",1
,,,9226-Surveillants dans la fabrication d'autres produits métalliques et de pièces mécaniques,1
,J & M Reeves Christmas Greens Ltd,"New Ross, NS B0J 2M0",8432-Ouvriers de pépinières et de serres,4
,J & V Education Service Inc.,"Halifax, NS B3H 4K2",421-Administrateurs - enseignement postsecondaire et formation professionnelle,1
,J E Bembridge Enterprises Ltd.,"Amherst, NS B4H 4E1",6311-Superviseurs des services alimentaires,1
,J W Mason & Sons (2013) Limited,"Windsor, NS B0N 2T0",8431-Ouvriers agricoles,20
,Jeita Holdings Limited,"Halifax, NS B3M 3N8",6311-Superviseurs des services alimentaires,1
,Job Fit Consulting Ltd,"Truro, NS B2N 6C7",7511-Conducteurs de camions de transport,10
,John's Steak House Limited,"Antigonish, NS B2G 1R6",6322-Cuisiniers,2
,Jonathan Eldon Mundle/Mundles Farm,"Pugwash, NS B0K 1L0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Kameron Coal Management Ltd,"Donkin, NS B1A 6P2",8221-Surveillants de l'exploitation des mines et des carrières,3
,,,"8231-Mineurs d'extraction et de préparation, mines souterraines",3
,Kingsport Studos Limited,"Kingsport, NS B0P 1H0",3125-Autres professionnels en diagnostic et en traitement de la santé,2
,Les Enterprises Samson Enterprises Ltee,"Petit De Grat, NS B0E 2L0",9531-Monteurs de bateaux et contrôleurs de montage de bateaux,1
,,,"9535-Assembleurs, finisseurs et contrôleurs de produits en plastique",2
,Lotus Garden Restaurant Limited,"Yarmouth, NS B5A 2T6",6322-Cuisiniers,1
,Lutz Family Farm Ltd,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,1
,MacDrew Limited,"Wolfville, NS B4B 1E2",6322-Cuisiniers,1
,MacGregor Dairy Farm,"Churchville, NS B0K 1B0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,Mandox Incorporated,"Annapolis Royal, NS B0S 1A0",6322-Cuisiniers,1
