Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Requested LMIAs,Requested Positions,Year,Date
Quebec,Low Wage,"OPUS Coop, Coopérative de solidarité","Québec, QC G1H 1A1",6321-Chefs,Unknown,1.0,2.0,2023,October 2023
Quebec,Low Wage,Panneaux CEMFORT Inc.,"Rigaud, QC J0P 1P0",7452-Material handlers,Corporation,1.0,1.0,2023,October 2023
Ontario,High Wage,1000151525 ONTARIO LTD.,"Mississauga, ON L5B 0M9",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,1000256345 Ontario Corporation,"Mississauga, ON L5T 2J6",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,1000380620 Ontario Inc.,"Barrie, ON L4N 9C7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,1000503183 ONTARIO INC,"Thornhill, ON L4J 1B5",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,1000583100 ONTARIO INC.,"North York, ON M3H 5M6",2253-Drafting technologists and technicians,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,10800201 Canada Limited,"Cambridge, ON N1R 8A8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,10839795 Canada Inc.,"Pickering, ON L1V 6M4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,11156209 CANADA INC,"Mississauaga, ON L5B 4P6",6332-Bakers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,11549146 CANADA CORPORATION,"Brampton, ON L6W 2C2",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,11661477 Canada Inc.,"Toronto, ON M6J 2H2","5131-Producers, directors, choreographers and related occupations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,12287927 Canada INC,"Cambridge, ON N1T 2G5",1223-Human resources and recruitment officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,12393107 CANADA INC.,"Brampton, ON L6X 0Y7",0631-Restaurant and food service managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,12497417 CANADA INC,"Toronto, ON M5G 1Z3",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,12880911 CANADA INC.,"Milton, ON L9T 8M3",4163-Business development officers and marketing researchers and consultants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,13027295 Canada Inc.,"Brampton, ON L6X 1Z3","7204-Contractors and supervisors, carpentry trades",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,13144097 Canada Inc.,"Ottawa, ON K1P 5G3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,13639452 Canada Inc.,"Brampton, ON L7A 2X4",7271-Carpenters,Unknown,1.0,2.0,2023,October 2023
Ontario,High Wage,14303369 Canada Inc,"Mississauga, ON L5N 5V3",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,14303369 Canada Inc,"Mississauga, ON L5N 5V3",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,14518322 Canada Inc.,"Toronto, ON M5A 1S9",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,14962281 Canada Inc,"EAST TORONTO, ON M5A 1S9","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,1578342 Ontario Inc O/A Printwell Printers,"Mississauga, ON L4W 1S4","7303-Supervisors, printing and related occupations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,1948711 Ontario Inc.,"Mississauga, ON L4Z 1T2",2281-Computer network technicians,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2075358 Ontario Inc.,"Brampton, ON L6T 0G5",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2113228 Ontario Inc.,"Mississauga, ON L4T 1G8",7511-Transport truck drivers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2272803 ONTARIO INC,"ST. THOMAS, ON N5P 0G8",0631-Restaurant and food service managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2332254 ONTARIO INC,"Mississauga, ON L4W 1B2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2372578 ontario inc,"Brampton, ON L6W 3N3",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2377878 ONTARIO INC.,"Innisfil, ON L9S 0K6",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2438588 ONTARIO INC.,"BRAMPTON, ON L6T 1V1","1211-Supervisors, general office and administrative support workers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2559294 Ontario Inc.,"North York, ON M9L 1Y2",7312-Heavy-duty equipment mechanics,Unknown,1.0,2.0,2023,October 2023
Ontario,High Wage,2720069 ontario inc,"brampton, ON L6W 4N6",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2778532 Ontario Inc.,"Brampton, ON L7A 0S9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2813955 Ontario Inc.,"Brampton, ON L6Y 2W9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2845159 ONTARIO INC.,"Milton, ON L9T 8E1","0124-Advertising, marketing and public relations managers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,2871288 Ontario Inc.,"Brampton, ON L6R 3L7",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,3PLCRM Ltd,"Vaughan, ON L4K 4N8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,7915578 Canada Inc,"Toronto, ON M1K 2N8",2173-Software engineers and designers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,AAJ BUILDING  MAINTENANCE INC,"BURLINGTON, ON L7P 2C8",6315-Cleaning supervisors,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,AFMC FINANCIAL CONSULTANCY LTD.,"WATERLOO, ON N2L 0C7",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,ALPHA FINANCIAL CONSULTANCY INC,"Toronto, ON M5X 1E3",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Anjoumehta Medical Consultancy Inc.,"Mississauga, ON L4X 2V3",3112-General practitioners and family physicians,Unknown,1.0,6.0,2023,October 2023
Ontario,High Wage,AnYa IT Networks LTD.,"WATERLOO, ON N2L 0C7",0213-Computer and information systems managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,AnYa IT Networks LTD.,"WATERLOO, ON N2L 0C7",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,ANYDAY WARES LIMITED,"Markham, ON L3R 6G2",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Art Square Ltd.,"Toronto, ON M1L 2K1",6341-Hairstylists and barbers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,ASSORTED SUPPLIES LIMITED,"Burlington, ON L7L 6A3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Auracare Canada Inc.,"Mississauga, ON L5A 4C7",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,AUTOCLIK SMART SOLUTIONS INC.,"Toronto, ON M5V 2Y1",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Automated Controls and Energy Solutions Group Inc,"Mississauga, ON L4W 5B8",0211-Engineering managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Avenue Corporate Services Ltd.,"TORONTO, ON M4N 3N1",0125-Other business services managers,Corporation,1.0,1.0,2023,October 2023
Ontario,High Wage,B Negative LLC,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",Corporation,1.0,1.0,2023,October 2023
Ontario,High Wage,BAGPIPER TRANSPORT INC.,"Mississauga, ON L5T 1V3",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Best Builders & Renovations Inc.,"North York, ON M3N 1V7",0112-Human resources managers,Unknown,1.0,2.0,2023,October 2023
Ontario,High Wage,Best Builders & Renovations Inc.,"North York, ON M3N 1V7",0711-Construction managers,Unknown,1.0,2.0,2023,October 2023
Ontario,High Wage,BIZLYTICS STRATEGIC CONSULTING LTD,"TORONTO, ON M3C 1W3",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,BIZLYTICS STRATEGIC CONSULTING LTD,"TORONTO, ON M3C 1W3",2133-Electrical and electronics engineers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,C. C. FINCH ALBION INC.,"NORTH YORK, ON M9M 2W8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Canadian Printing Resources Inc.,"Toronto, ON M3N 1H7","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Circle Productions,"TORONTO, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",Corporation,1.0,1.0,2023,October 2023
Ontario,High Wage,Circle Productions Ltd.,"TORONTO, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",Sole Proprietorship,1.0,1.0,2023,October 2023
Ontario,High Wage,CIT Corp,"Concord, ON L4K 1Z8",0111-Financial managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Compatible Concepts Pvt. Ltd.,"Mississauga, ON L5B 3C3",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Contract Packaging Distribution Inc.,"Etobicoke, ON M9W 1N4",1225-Purchasing agents and officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Crescent Energy Consulting Ltd,"WATERLOO, ON N2L 0C7","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Dr. Steven V. Zizzo Professional Medicine Corp.,"Hamilton, ON L8J 0B6",3124-Allied primary health practitioners,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,DSA DISPOSAL INC,"STONEY CREEK, ON L8J 0M3",7511-Transport truck drivers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,EAGLE SHUNT SERVICE LTD.,"Inglewood, ON L7C 2B8","0016-Senior managers - construction, transportation, production and utilities",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Expansion Edge LTD.,"Toronto, ON M5A 1S9",0213-Computer and information systems managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Feels Like Home,"Toronto, ON M6H  2X","5131-Producers, directors, choreographers and related occupations",Co-operative,2.0,2.0,2023,October 2023
Ontario,High Wage,Finance Hub Consultancy Ltd.,"MISSISSAUGA, ON L5R 3E7",0111-Financial managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,FinGenius advisors Inc.,"Toronto, ON M6P 3T1","0121-Insurance, real estate and financial brokerage managers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,ForeFront Forum Ltd.,"Ottawa, ON K1N 8S7","0124-Advertising, marketing and public relations managers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,ForeFront Forum Ltd.,"Ottawa, ON K1N 8S7",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,FROZENMAN INC,"Scarborough, ON M1N 4B5","5131-Producers, directors, choreographers and related occupations",Unknown,3.0,3.0,2023,October 2023
Ontario,High Wage,Gallant & Toole Inc.,"Etobicoke, ON M9C 5L5",0111-Financial managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Glen Derry Physiotherapy and Wellness Clinic,"Mississauga, ON L5N 3N5",1221-Administrative officers,Corporation,1.0,1.0,2023,October 2023
Ontario,High Wage,GRACELIGHT TRADING LTD.,"Toronto, ON M5V 2Y1",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,GRANT GLOBAL LOGISTICS INC.,"MAPLE, ON L4K 4V5",7511-Transport truck drivers,Unknown,1.0,5.0,2023,October 2023
Ontario,High Wage,HANDS ON GREENS LTD.,"Mississauga, ON L5B 3C3","1211-Supervisors, general office and administrative support workers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,HIMCAN CONSTRUCTION & RENOVATIONS INC.,"Oakville, ON L6H 7S8",0711-Construction managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,HM MISSISSAUGA INC.,"St. Catharines, ON L2R 2Z5","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,HYPERAMA INC.,"Toronto, ON M5G 2R2",6222-Retail and wholesale buyers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,iip recuriters inc,"brampton, ON L6X 5A7",1414-Receptionists,Unknown,1.0,2.0,2023,October 2023
Ontario,High Wage,INDERSONS ELECTRONICS INC,"MISSISSAUGA, ON L4W 5K4","1211-Supervisors, general office and administrative support workers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Inspectest Consulting Inc.,"Mississauga, ON L5N 8C3","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,JBH Truck Centre Ltd.,"Brampton, ON L6T 1A7","0016-Senior managers - construction, transportation, production and utilities",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,JBH Truck Centre Ltd.,"Brampton, ON L6T 1A7",0731-Managers in transportation,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,KAMY EVENT SOLUTIONS INC,"Toronto, ON M5V 2Y1","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,KAMY EVENT SOLUTIONS INC,"Toronto, ON M5V 2Y1",1226-Conference and event planners,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Kidoo Tax & Financial Services Inc.,"Etobicoke, ON M9V 3Y7",0113-Purchasing managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,KISTAANGS INC,"MILTON, ON L9T 0J3",2173-Software engineers and designers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Lavish Home Comfort Ltd,"Mississauga, ON L5B 4N4",7313-Refrigeration and air conditioning mechanics,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,LITTLE GROUP INC.,"Toronto, ON M6N 4Z5",6314-Customer and information services supervisors,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Lux Academy Inc.,"Richmond Hill, ON L4C 9P9","0124-Advertising, marketing and public relations managers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,MaaWaa Drinks&Foods Inc.,"Mississauga, ON L5A 2R5",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,MAKEIT CORP.,"North Bay, ON P1A 0B4","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Malvi Systems Canada Incorporated,"TORONTO, ON M9W 5Z8",2174-Computer programmers and interactive media developers,Corporation,1.0,1.0,2023,October 2023
Ontario,High Wage,MCB Plumbing Canada,"Scarborough, ON M1B 2K4",7251-Plumbers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Merchant,"Toronto, ON M6K  1Y","5131-Producers, directors, choreographers and related occupations",Corporation,1.0,1.0,2023,October 2023
Ontario,High Wage,Meza Tronics Inc.,"Mississauga, ON L5N 5V3",2174-Computer programmers and interactive media developers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Mirza Property Management & Consultants Ltd.,"Toronto, ON M5A 1S9",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Mouri Tech Inc,"Scarborough, ON M1B 2W1","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,MSF Alliance Canada Ltd.,"Toronto, ON M5V 2Y1",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,MULTI LOGISTICS INC.,"windsor, ON N9B 3W9","0016-Senior managers - construction, transportation, production and utilities",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,National Impex Inc.,"Mississauga, ON L5S 1M4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Nexim healthcare consultants Inc,"Toronto, ON M6C 2R4",3212-Medical laboratory technicians and pathologists' assistants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Obox Solution Ltd.,"Toronto, ON M4V 1L5",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Oiledge consulting ltd.,"EAST TORONTO, ON M5A 1S9",0114-Other administrative services managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Oiledge consulting ltd.,"EAST TORONTO, ON M5A 1S9",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,OMH Mfg Inc,"Linwood, ON N0B 2A0",9612-Labourers in metal fabrication,Unknown,1.0,2.0,2023,October 2023
Ontario,High Wage,Ontario Best Carrier Inc.,"Bolton, ON L7E 3B6",7511-Transport truck drivers,Unknown,1.0,3.0,2023,October 2023
Ontario,High Wage,Pleasant Hills Care Solution Inc,"Hamilton, ON L8H 2Y6",1223-Human resources and recruitment officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Prior Immigration and Visa services Inc.,"Mississauga, ON L5S 0A2",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,PRO TRANS INC.,"Hamilton, ON L8N 3W1","0016-Senior managers - construction, transportation, production and utilities",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Qtech Consulting Services Inc.,"Toronto, ON M5V 2Y1",0213-Computer and information systems managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Quadrilateral Finance Consultancy Inc.,"Toronto, ON M5V 2Y1",0111-Financial managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Quadrilateral Finance Consultancy Inc.,"Toronto, ON M5V 2Y1",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,QZEE BUSINESS  AND SERVICES INC.,"London, ON N5Y 3M2",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,R.L Risk Analysis Consultancy Inc.,"TORONTO, ON M5B 1N9","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Radioaktivefilm(Canada) Inc.,"Toronto, ON M6K 1Y6","5131-Producers, directors, choreographers and related occupations",Unknown,2.0,2.0,2023,October 2023
Ontario,High Wage,Radke Films Ltd,"Toronto, ON M6J 1C3","5131-Producers, directors, choreographers and related occupations",Unknown,2.0,2.0,2023,October 2023
Ontario,High Wage,RAJWANT RANDHAWA FINANCIAL SERVICES,"Brampton, ON L6W 4P9",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Röchling Industrial,"Orangeville, ON L9W 3K3",7231-Machinists and machining and tooling inspectors,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Sana Faheem Advertising Ltd.,"WATERLOO, ON N2L 0C7","0124-Advertising, marketing and public relations managers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,SITA Associates Inc.,"Mississauga, ON L4W 2K8",2233-Industrial engineering and manufacturing technologists and technicians,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,SOCALL CANADIAN INC.,"Toronto, ON M5A 1S9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,SOCALL CANADIAN INC.,"Toronto, ON M5A 1S9",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Solano Cement Finish Inc,"Woodbridge, ON L4H 0T4",7282-Concrete finishers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,SOPHIOLOGY HR LTD.,"Cambridge, ON N1R 7L6",0112-Human resources managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,SPARKUP BUSINESS SOLUTIONS LTD.,"Toronto, ON M5G 1E2",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Starlite Equipment Consultancy Inc.,"WATERLOO, ON N2L 0C7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Steam Films Inc.,"Toronto, ON M6J 1C3","5131-Producers, directors, choreographers and related occupations",Unknown,2.0,2.0,2023,October 2023
Ontario,High Wage,Sterling Content Inc,"Toronto, ON M5V 2B3","5131-Producers, directors, choreographers and related occupations",Unknown,2.0,2.0,2023,October 2023
Ontario,High Wage,Suneeva Ltd,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",Corporation,6.0,6.0,2023,October 2023
Ontario,High Wage,Sunera Technologies Inc.,"Stoney Creek, ON L8J 2S4",2283-Information systems testing technicians,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Super-Pufft Snacks Corp,"Mississauga, ON L5S 1N8",1112-Financial and investment analysts,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,SutraVentures Ltd,"MISSISSAUGA, ON L5A 4C8","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,SutraVentures Ltd,"MISSISSAUGA, ON L5A 4C8",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,T DOT AUTOMATION INC,"Guelph, ON N1G 0E6",2232-Mechanical engineering technologists and technicians,Unknown,1.0,2.0,2023,October 2023
Ontario,High Wage,Taco Factory Inc.,"Welland, ON L3C 4Z8","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Talent Trump International,"London, ON N6A 3C2","0124-Advertising, marketing and public relations managers",Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,Tanush Transport Inc,"North York, ON M9M 3B4",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023
Ontario,High Wage,TATA LOGISTICS LTD.,"Brampton, ON L6T 4T5","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023
