,Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Requested LMIAs,Requested Positions,Year,Date,Month,ZipCode,NOC 2016 V1.3 Code,NOC 2016 V1.3 Title,NOC 2021 V1.0 Code,NOC 2021 V1.0 Title,Teer
24,Quebec,High Wage,SELEKKTUS Solutions d'embauche inc.,"Montreal, QC H3C 1L9",1523-Production logistics co-ordinators,Unknown,1.0,1.0,2023,October 2023,October,H3C 1L9,1523,Production logistics co-ordinators,13201,Production and transportation logistics coordinators,3
25,Quebec,High Wage,SELEKKTUS Solutions d'embauche inc.,"Montreal, QC H3C 1L9",1523-Production logistics co-ordinators,Unknown,1.0,1.0,2023,October 2023,October,H3C 1L9,1523,Production logistics co-ordinators,14402,Production logistics workers,4
26,Quebec,Low Wage,9163-2653 QUÉBEC INC.,"Brossard, QC J4Y  0J",6311-Food service supervisors,Partnership,1.0,1.0,2023,October 2023,October,J4Y  0J,6311,Food service supervisors,62020,Food service supervisors,2
27,Quebec,Low Wage,9270-8783 Québec inc.,"Québec, QC G1V 1T6",6731-Light duty cleaners,Unknown,1.0,1.0,2023,October 2023,October,G1V 1T6,6731,Light duty cleaners,65310,Light duty cleaners,5
28,Quebec,Low Wage,9278-3513 Québec inc.,"SOREL-TRACY, QC J3P 4G5",4214-Early childhood educators and assistants,Unknown,1.0,1.0,2023,October 2023,October,J3P 4G5,4214,Early childhood educators and assistants,42202,Early childhood educators and assistants,2
29,Quebec,Low Wage,9321-5762 Québec inc.,"Montréal, QC H1T 1G7",6332-Bakers,Unknown,1.0,1.0,2023,October 2023,October,H1T 1G7,6332,Bakers,63202,Bakers,3
30,Quebec,Low Wage,9331-6701 Québec INC.,"Montréal, QC H4M 1P1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,2023,October 2023,October,H4M 1P1,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
31,Quebec,Low Wage,9342-0800 Québec inc.,"Longueuil, QC J4H 1E7","7284-Plasterers, drywall installers and finishers and lathers",Corporation,1.0,2.0,2023,October 2023,October,J4H 1E7,7284,"Plasterers, drywall installers and finishers and lathers",73102,"Plasterers, drywall installers and finishers and lathers",3
32,Quebec,Low Wage,9432-7657 Quebec Inc.,"Laval, QC H7S 2L8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Corporation,1.0,3.0,2023,October 2023,October,H7S 2L8,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2
33,Quebec,Low Wage,9432-7657 Quebec Inc.,"Laval, QC H7S 2L8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Corporation,1.0,3.0,2023,October 2023,October,H7S 2L8,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",13201,Production and transportation logistics coordinators,3
34,Quebec,Low Wage,9432-7657 Quebec Inc.,"Laval, QC H7S 2L8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Corporation,1.0,3.0,2023,October 2023,October,H7S 2L8,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",74202,Air transport ramp attendants,4
35,Quebec,Low Wage,9452-0772 Québec Inc.,"Lévis, QC G6Z 8A1",6731-Light duty cleaners,Corporation,1.0,1.0,2023,October 2023,October,G6Z 8A1,6731,Light duty cleaners,65310,Light duty cleaners,5
36,Quebec,Low Wage,Microbrasserie La Boite à Malt,"Lévis, QC G7A 2P6","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,2.0,2023,October 2023,October,G7A 2P6,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
37,Quebec,Low Wage,"OPUS Coop, Coopérative de solidarité","Québec, QC G1H 1A1",6321-Chefs,Unknown,1.0,2.0,2023,October 2023,October,G1H 1A1,6321,Chefs,62200,Chefs,2
38,Quebec,Low Wage,Panneaux CEMFORT Inc.,"Rigaud, QC J0P 1P0",7452-Material handlers,Corporation,1.0,1.0,2023,October 2023,October,J0P 1P0,7452,Material handlers,75101,Material handlers,5
39,Ontario,High Wage,1000151525 ONTARIO LTD.,"Mississauga, ON L5B 0M9",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,L5B 0M9,1221,Administrative officers,13100,Administrative officers,3
40,Ontario,High Wage,1000256345 Ontario Corporation,"Mississauga, ON L5T 2J6",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,L5T 2J6,1221,Administrative officers,13100,Administrative officers,3
41,Ontario,High Wage,1000380620 Ontario Inc.,"Barrie, ON L4N 9C7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023,October,L4N 9C7,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",00014,"Senior managers - trade, broadcasting and other services",0
42,Ontario,High Wage,1000503183 ONTARIO INC,"Thornhill, ON L4J 1B5",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023,October,L4J 1B5,1311,Accounting technicians and bookkeepers,12200,Accounting technicians and bookkeepers,2
43,Ontario,High Wage,1000583100 ONTARIO INC.,"North York, ON M3H 5M6",2253-Drafting technologists and technicians,Unknown,1.0,1.0,2023,October 2023,October,M3H 5M6,2253,Drafting technologists and technicians,22212,Drafting technologists and technicians,2
44,Ontario,High Wage,10800201 Canada Limited,"Cambridge, ON N1R 8A8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023,October,N1R 8A8,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",00014,"Senior managers - trade, broadcasting and other services",0
45,Ontario,High Wage,10839795 Canada Inc.,"Pickering, ON L1V 6M4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023,October,L1V 6M4,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",00014,"Senior managers - trade, broadcasting and other services",0
46,Ontario,High Wage,11156209 CANADA INC,"Mississauaga, ON L5B 4P6",6332-Bakers,Unknown,1.0,1.0,2023,October 2023,October,L5B 4P6,6332,Bakers,63202,Bakers,3
47,Ontario,High Wage,11549146 CANADA CORPORATION,"Brampton, ON L6W 2C2",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,L6W 2C2,1221,Administrative officers,13100,Administrative officers,3
48,Ontario,High Wage,11661477 Canada Inc.,"Toronto, ON M6J 2H2","5131-Producers, directors, choreographers and related occupations",Unknown,1.0,1.0,2023,October 2023,October,M6J 2H2,5131,"Producers, directors, choreographers and related occupations",51120,"Producers, directors, choreographers and related occupations",1
49,Ontario,High Wage,12287927 Canada INC,"Cambridge, ON N1T 2G5",1223-Human resources and recruitment officers,Unknown,1.0,1.0,2023,October 2023,October,N1T 2G5,1223,Human resources and recruitment officers,12101,Human resources and recruitment officers,2
50,Ontario,High Wage,12393107 CANADA INC.,"Brampton, ON L6X 0Y7",0631-Restaurant and food service managers,Unknown,1.0,1.0,2023,October 2023,October,L6X 0Y7,0631,Restaurant and food service managers,60030,Restaurant and food service managers,0
51,Ontario,High Wage,12497417 CANADA INC,"Toronto, ON M5G 1Z3",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023,October,M5G 1Z3,0621,Retail and wholesale trade managers,60020,Retail and wholesale trade managers,0
52,Ontario,High Wage,12880911 CANADA INC.,"Milton, ON L9T 8M3",4163-Business development officers and marketing researchers and consultants,Unknown,1.0,1.0,2023,October 2023,October,L9T 8M3,4163,Business development officers and marketing researchers and consultants,11202,"Professional occupations in advertising, marketing and public relations",1
53,Ontario,High Wage,12880911 CANADA INC.,"Milton, ON L9T 8M3",4163-Business development officers and marketing researchers and consultants,Unknown,1.0,1.0,2023,October 2023,October,L9T 8M3,4163,Business development officers and marketing researchers and consultants,41402,Business development officers and market researchers and analysts,1
54,Ontario,High Wage,13027295 Canada Inc.,"Brampton, ON L6X 1Z3","7204-Contractors and supervisors, carpentry trades",Unknown,1.0,1.0,2023,October 2023,October,L6X 1Z3,7204,"Contractors and supervisors, carpentry trades",72013,"Contractors and supervisors, carpentry trades",2
55,Ontario,High Wage,13144097 Canada Inc.,"Ottawa, ON K1P 5G3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,K1P 5G3,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2
56,Ontario,High Wage,13144097 Canada Inc.,"Ottawa, ON K1P 5G3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,K1P 5G3,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",13201,Production and transportation logistics coordinators,3
57,Ontario,High Wage,13144097 Canada Inc.,"Ottawa, ON K1P 5G3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,K1P 5G3,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",74202,Air transport ramp attendants,4
58,Ontario,High Wage,13639452 Canada Inc.,"Brampton, ON L7A 2X4",7271-Carpenters,Unknown,1.0,2.0,2023,October 2023,October,L7A 2X4,7271,Carpenters,72310,Carpenters,2
59,Ontario,High Wage,14303369 Canada Inc,"Mississauga, ON L5N 5V3",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,L5N 5V3,1221,Administrative officers,13100,Administrative officers,3
60,Ontario,High Wage,14303369 Canada Inc,"Mississauga, ON L5N 5V3",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023,October,L5N 5V3,1311,Accounting technicians and bookkeepers,12200,Accounting technicians and bookkeepers,2
61,Ontario,High Wage,14518322 Canada Inc.,"Toronto, ON M5A 1S9",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023,October,M5A 1S9,0125,Other business services managers,10029,Other business services managers,0
62,Ontario,High Wage,14962281 Canada Inc,"EAST TORONTO, ON M5A 1S9","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023,October,M5A 1S9,0013,"Senior managers - financial, communications and other business services",00012,"Senior managers - financial, communications and other business services",0
63,Ontario,High Wage,1578342 Ontario Inc O/A Printwell Printers,"Mississauga, ON L4W 1S4","7303-Supervisors, printing and related occupations",Unknown,1.0,1.0,2023,October 2023,October,L4W 1S4,7303,"Supervisors, printing and related occupations",72022,"Supervisors, printing and related occupations",2
64,Ontario,High Wage,1948711 Ontario Inc.,"Mississauga, ON L4Z 1T2",2281-Computer network technicians,Unknown,1.0,1.0,2023,October 2023,October,L4Z 1T2,2281,Computer network technicians,22220,Computer network and web technicians,2
65,Ontario,High Wage,2075358 Ontario Inc.,"Brampton, ON L6T 0G5",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,L6T 0G5,1241,Administrative assistants,13110,Administrative assistants,3
66,Ontario,High Wage,2113228 Ontario Inc.,"Mississauga, ON L4T 1G8",7511-Transport truck drivers,Unknown,1.0,1.0,2023,October 2023,October,L4T 1G8,7511,Transport truck drivers,73300,Transport truck drivers,3
67,Ontario,High Wage,2272803 ONTARIO INC,"ST. THOMAS, ON N5P 0G8",0631-Restaurant and food service managers,Unknown,1.0,1.0,2023,October 2023,October,N5P 0G8,0631,Restaurant and food service managers,60030,Restaurant and food service managers,0
68,Ontario,High Wage,2332254 ONTARIO INC,"Mississauga, ON L4W 1B2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,L4W 1B2,1123,"Professional occupations in advertising, marketing and public relations",10022,"Advertising, marketing and public relations managers",0
69,Ontario,High Wage,2332254 ONTARIO INC,"Mississauga, ON L4W 1B2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,L4W 1B2,1123,"Professional occupations in advertising, marketing and public relations",11202,"Professional occupations in advertising, marketing and public relations",1
70,Ontario,High Wage,2332254 ONTARIO INC,"Mississauga, ON L4W 1B2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,L4W 1B2,1123,"Professional occupations in advertising, marketing and public relations",64409,Other customer and information services representatives,4
71,Ontario,High Wage,2372578 ontario inc,"Brampton, ON L6W 3N3",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,L6W 3N3,1241,Administrative assistants,13110,Administrative assistants,3
72,Ontario,High Wage,2377878 ONTARIO INC.,"Innisfil, ON L9S 0K6",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023,October,L9S 0K6,0621,Retail and wholesale trade managers,60020,Retail and wholesale trade managers,0
73,Ontario,High Wage,2438588 ONTARIO INC.,"BRAMPTON, ON L6T 1V1","1211-Supervisors, general office and administrative support workers",Unknown,1.0,1.0,2023,October 2023,October,L6T 1V1,1211,"Supervisors, general office and administrative support workers",12010,"Supervisors, general office and administrative support workers",2
74,Ontario,High Wage,2559294 Ontario Inc.,"North York, ON M9L 1Y2",7312-Heavy-duty equipment mechanics,Unknown,1.0,2.0,2023,October 2023,October,M9L 1Y2,7312,Heavy-duty equipment mechanics,72401,Heavy-duty equipment mechanics,2
75,Ontario,High Wage,2720069 ontario inc,"brampton, ON L6W 4N6",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,L6W 4N6,1221,Administrative officers,13100,Administrative officers,3
76,Ontario,High Wage,2778532 Ontario Inc.,"Brampton, ON L7A 0S9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023,October,L7A 0S9,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",00014,"Senior managers - trade, broadcasting and other services",0
77,Ontario,High Wage,2813955 Ontario Inc.,"Brampton, ON L6Y 2W9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1.0,1.0,2023,October 2023,October,L6Y 2W9,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",2
78,Ontario,High Wage,2845159 ONTARIO INC.,"Milton, ON L9T 8E1","0124-Advertising, marketing and public relations managers",Unknown,1.0,1.0,2023,October 2023,October,L9T 8E1,0124,"Advertising, marketing and public relations managers",10022,"Advertising, marketing and public relations managers",0
79,Ontario,High Wage,2871288 Ontario Inc.,"Brampton, ON L6R 3L7",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,L6R 3L7,1241,Administrative assistants,13110,Administrative assistants,3
80,Ontario,High Wage,3PLCRM Ltd,"Vaughan, ON L4K 4N8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023,October,L4K 4N8,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",00014,"Senior managers - trade, broadcasting and other services",0
81,Ontario,High Wage,7915578 Canada Inc,"Toronto, ON M1K 2N8",2173-Software engineers and designers,Unknown,1.0,1.0,2023,October 2023,October,M1K 2N8,2173,Software engineers and designers,21211,Data scientists,1
82,Ontario,High Wage,7915578 Canada Inc,"Toronto, ON M1K 2N8",2173-Software engineers and designers,Unknown,1.0,1.0,2023,October 2023,October,M1K 2N8,2173,Software engineers and designers,21231,Software engineers and designers,1
83,Ontario,High Wage,AAJ BUILDING  MAINTENANCE INC,"BURLINGTON, ON L7P 2C8",6315-Cleaning supervisors,Unknown,1.0,1.0,2023,October 2023,October,L7P 2C8,6315,Cleaning supervisors,62024,Cleaning supervisors,2
84,Ontario,High Wage,AFMC FINANCIAL CONSULTANCY LTD.,"WATERLOO, ON N2L 0C7",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023,October,N2L 0C7,1311,Accounting technicians and bookkeepers,12200,Accounting technicians and bookkeepers,2
85,Ontario,High Wage,ALPHA FINANCIAL CONSULTANCY INC,"Toronto, ON M5X 1E3",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,M5X 1E3,1221,Administrative officers,13100,Administrative officers,3
86,Ontario,High Wage,Anjoumehta Medical Consultancy Inc.,"Mississauga, ON L4X 2V3",3112-General practitioners and family physicians,Unknown,1.0,6.0,2023,October 2023,October,L4X 2V3,3112,General practitioners and family physicians,31102,General practitioners and family physicians,1
87,Ontario,High Wage,AnYa IT Networks LTD.,"WATERLOO, ON N2L 0C7",0213-Computer and information systems managers,Unknown,1.0,1.0,2023,October 2023,October,N2L 0C7,0213,Computer and information systems managers,20012,Computer and information systems managers,0
88,Ontario,High Wage,AnYa IT Networks LTD.,"WATERLOO, ON N2L 0C7",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,N2L 0C7,1241,Administrative assistants,13110,Administrative assistants,3
89,Ontario,High Wage,ANYDAY WARES LIMITED,"Markham, ON L3R 6G2",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023,October,L3R 6G2,0621,Retail and wholesale trade managers,60020,Retail and wholesale trade managers,0
90,Ontario,High Wage,Art Square Ltd.,"Toronto, ON M1L 2K1",6341-Hairstylists and barbers,Unknown,1.0,1.0,2023,October 2023,October,M1L 2K1,6341,Hairstylists and barbers,63210,Hairstylists and barbers,3
91,Ontario,High Wage,ASSORTED SUPPLIES LIMITED,"Burlington, ON L7L 6A3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023,October,L7L 6A3,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",00014,"Senior managers - trade, broadcasting and other services",0
92,Ontario,High Wage,Auracare Canada Inc.,"Mississauga, ON L5A 4C7",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023,October,L5A 4C7,0621,Retail and wholesale trade managers,60020,Retail and wholesale trade managers,0
93,Ontario,High Wage,AUTOCLIK SMART SOLUTIONS INC.,"Toronto, ON M5V 2Y1",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023,October,M5V 2Y1,0125,Other business services managers,10029,Other business services managers,0
94,Ontario,High Wage,Automated Controls and Energy Solutions Group Inc,"Mississauga, ON L4W 5B8",0211-Engineering managers,Unknown,1.0,1.0,2023,October 2023,October,L4W 5B8,0211,Engineering managers,20010,Engineering managers,0
95,Ontario,High Wage,Avenue Corporate Services Ltd.,"TORONTO, ON M4N 3N1",0125-Other business services managers,Corporation,1.0,1.0,2023,October 2023,October,M4N 3N1,0125,Other business services managers,10029,Other business services managers,0
96,Ontario,High Wage,B Negative LLC,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",Corporation,1.0,1.0,2023,October 2023,October,M5A 2N4,5131,"Producers, directors, choreographers and related occupations",51120,"Producers, directors, choreographers and related occupations",1
97,Ontario,High Wage,BAGPIPER TRANSPORT INC.,"Mississauga, ON L5T 1V3",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,L5T 1V3,1221,Administrative officers,13100,Administrative officers,3
98,Ontario,High Wage,Best Builders & Renovations Inc.,"North York, ON M3N 1V7",0112-Human resources managers,Unknown,1.0,2.0,2023,October 2023,October,M3N 1V7,0112,Human resources managers,10011,Human resources managers,0
99,Ontario,High Wage,Best Builders & Renovations Inc.,"North York, ON M3N 1V7",0112-Human resources managers,Unknown,1.0,2.0,2023,October 2023,October,M3N 1V7,0112,Human resources managers,11200,Human resources professionals,1
100,Ontario,High Wage,Best Builders & Renovations Inc.,"North York, ON M3N 1V7",0112-Human resources managers,Unknown,1.0,2.0,2023,October 2023,October,M3N 1V7,0112,Human resources managers,13110,Administrative assistants,3
101,Ontario,High Wage,Best Builders & Renovations Inc.,"North York, ON M3N 1V7",0112-Human resources managers,Unknown,1.0,2.0,2023,October 2023,October,M3N 1V7,0112,Human resources managers,22232,Occupational health and safety specialists,2
102,Ontario,High Wage,Best Builders & Renovations Inc.,"North York, ON M3N 1V7",0711-Construction managers,Unknown,1.0,2.0,2023,October 2023,October,M3N 1V7,0711,Construction managers,70010,Construction managers,0
103,Ontario,High Wage,BIZLYTICS STRATEGIC CONSULTING LTD,"TORONTO, ON M3C 1W3",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,M3C 1W3,1241,Administrative assistants,13110,Administrative assistants,3
104,Ontario,High Wage,BIZLYTICS STRATEGIC CONSULTING LTD,"TORONTO, ON M3C 1W3",2133-Electrical and electronics engineers,Unknown,1.0,1.0,2023,October 2023,October,M3C 1W3,2133,Electrical and electronics engineers,21310,Electrical and electronics engineers,1
105,Ontario,High Wage,C. C. FINCH ALBION INC.,"NORTH YORK, ON M9M 2W8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023,October,M9M 2W8,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",00014,"Senior managers - trade, broadcasting and other services",0
106,Ontario,High Wage,Canadian Printing Resources Inc.,"Toronto, ON M3N 1H7","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023,October,M3N 1H7,0013,"Senior managers - financial, communications and other business services",00012,"Senior managers - financial, communications and other business services",0
107,Ontario,High Wage,Circle Productions,"TORONTO, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",Corporation,1.0,1.0,2023,October 2023,October,M5V 1T2,5131,"Producers, directors, choreographers and related occupations",51120,"Producers, directors, choreographers and related occupations",1
108,Ontario,High Wage,Circle Productions Ltd.,"TORONTO, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",Sole Proprietorship,1.0,1.0,2023,October 2023,October,M5V 1T2,5131,"Producers, directors, choreographers and related occupations",51120,"Producers, directors, choreographers and related occupations",1
