Number of Positive and Negative Labour Market Impact Assessments (LMIAs) under the Seasonal Agricultural Worker Program (SAWP) by Location of Employment,,,,,,,,,,,,,,,,,
,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,
,4850-Red Deer,17,0,20,1,27,1,19,0,19,0,18,0,23,0,24,0
,4860-Edmonton,42,7,39,6,58,2,42,0,45,1,37,0,39,0,37,0
,4870-Athabasca--Grande Prairie--Peace River,31,5,28,5,49,3,39,0,33,0,39,0,37,0,38,0
,4880-Wood Buffalo--Cold Lake,16,0,21,1,19,2,16,1,23,0,13,2,15,0,17,0
,4899-Unspecified,2,0,0,0,2,1,1,0,1,0,2,0,0,0,3,0
,Total,213,21,213,22,316,16,231,3,222,1,225,5,236,0,239,0
British Columbia,5910-Vancouver Island and Coast,32,9,29,5,43,0,32,1,37,1,32,0,27,0,36,0
,5920-Lower Mainland--Southwest,308,47,288,32,414,16,259,7,335,3,266,1,309,1,371,0
,5930-Thompson--Okanagan,460,71,426,51,594,17,430,11,519,6,495,2,544,2,604,2
,5940-Kootenay,20,2,19,2,34,0,14,0,41,1,14,1,31,0,38,0
,5950-Cariboo,1,0,3,0,3,0,5,0,2,0,2,0,4,0,4,0
,5970-Nechako,0,0,0,0,0,0,3,0,0,0,1,0,3,0,3,0
,5980-Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,5999-Unspecified,1,1,3,1,4,0,1,0,1,0,0,0,2,0,1,0
,Total,822,130,768,91,"1,092",33,744,19,935,11,810,4,921,3,"1,057",2
Canada,,"5,408",213,"5,078",164,"5,441",67,"5,074",38,"4,690",22,"4,748",13,"5,501",4,"5,395",4
Notes:,,,,,,,,,,,,,,,,,
1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,,,,,,,,,,,,,,,,,
" 2. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.
",,,,,,,,,,,,,,,,,
"3. An economic region is defined by Statistics Canada as a grouping of complete Census Divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. There are 76 economic regions across Canada. In Ontario, there is one exception where the employers� boundary does not respect census division boundaries: The census division of Halton is split between the employers of Hamilton�Niagara Peninsula and the employers of Toronto.",,,,,,,,,,,,,,,,,
"4. ""Unspecified"" indicates that the location of employment includes more than one distinct economic region within the same province.",,,,,,,,,,,,,,,,,
5. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,,,,,,,,,,
