Number of Temporary Foreign Worker (TFW) Positions on Positive and Negative Labour Market Impact Assessments (LMIAs) under the Seasonal Agricultural Worker Program (SAWP) by National Occupational Classification - 2011 (NOC) ,,,,,,,,,,,,,,,,,
,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,
,8431-General farm workers,673,86,715,88,951,37,659,5,698,0,676,25,739,0,"1,050",0
,8432-Nursery and greenhouse workers,603,11,645,15,766,18,724,1,674,0,727,3,764,0,"1,092",0
,8611-Harvesting labourers,0,2,12,5,13,0,1,0,0,0,0,3,0,0,0,0
British Columbia,0821-Managers in agriculture,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,"8252-Agricultural service contractors, farm supervisors and specialized livestock workers",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,8431-General farm workers,"5,615",682,"5,483",535,"8,850",278,"6,150",133,"7,113",24,"6,529",21,"6,792",7,"9,724",6
,8432-Nursery and greenhouse workers,"1,933",163,"1,623",91,"2,519",39,"2,022",25,"2,306",10,"1,801",0,"1,882",0,"2,854",0
,8611-Harvesting labourers,2,2,53,2,91,0,42,0,262,0,218,0,37,4,35,0
Canada,0012-Senior government managers and officials,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
,0821-Managers in agriculture,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,0822-Managers in horticulture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,1121-Human resources professionals,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
,"4412-Home support workers, housekeepers and related occupations",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
,8241-Logging machinery operators,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
,"8252-Agricultural service contractors, farm supervisors and specialized livestock workers",74,12,24,1,48,6,39,11,48,4,22,0,112,0,218,0
,"8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
,8421-Chain saw and skidder operators,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
,8431-General farm workers,"27,616","1,142","31,806",878,"36,507",404,"32,982",169,"32,213",47,"36,531",57,"39,100",12,"43,866",10
,8432-Nursery and greenhouse workers,"12,150",371,"12,266",157,"13,602",63,"13,323",30,"11,570",10,"7,836",6,"9,151",0,"10,976",0
,8611-Harvesting labourers,398,5,644,7,387,5,406,0,624,0,680,3,546,4,481,0
,8612-Landscaping and grounds maintenance labourers,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Notes:,,,,,,,,,,,,,,,,,
1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,,,,,,,,,,,,,,,,,
" 2. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.
",,,,,,,,,,,,,,,,,
"3. Effective November 2016, NOC 2011 is being used. Prior to November 2016, all occupations under NOC 2006 had been converted to the respective NOC 2011 occupation. Empirical concordance released by Statistics Canada was used to determine appropriate linkages.
",,,,,,,,,,,,,,,,,
"4. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).
(for example, five nannies).
",,,,,,,,,,,,,,,,,
"5. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",,,,,,,,,,,,,,,,,
6. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,,,,,,,,,,
