"Principaux pays de résidence, selon le nombre de postes de travailleurs étrangers temporaires (TET) visés par les études d'impact sur le marché du travail (EIMT) positives, selon la province ou le territoire",,
,,
Canada,,
2020,,
Pays de citoyenneté,Positions,Rang
Philippines,2,1
Autriche,1,3
Corée-du-Sud,1,3
,,
,,
,,
,,
,,
,,
2021,,
Pays de citoyenneté,Positions,Rang
Philippines,8,1
Sri Lanka,3,2
,1,3
Egypte,1,3
Inde,1,3
Nigéria,1,3
Corée-du-Sud,1,3
Royaume-Uni,1,3
États-Unis,1,3
,,
2022,,
Pays de citoyenneté,Positions,Rang
Philippines,66,1
Inde,14,2
Jamaique,4,3
Emirats Arabes Unis,4,3
Arabie Saudite,3,5
Arménie,2,6
Egypte,2,6
Koweit,2,6
Liban,2,6
Macao,2,6
2023,,
Pays de citoyenneté,Positions,Rang
Philippines,49,1
Nouvelle-Zélande,12,2
Inde,10,3
Zimbabwe,6,4
Nigéria,4,5
Australie,3,6
Jamaique,3,6
Emirats Arabes Unis,3,6
Maroc,2,9
Arabie Saudite,2,9
Nunavut,,
2020,,
Pays de citoyenneté,Positions,Rang
Estonie,32,1
Philippines,7,2
Chine,1,3
Inde,1,3
Qatar,1,3
Russie,1,3
,,
,,
,,
,,
2021,,
Pays de citoyenneté,Positions,Rang
Estonie,32,1
Grèce,9,2
Royaume-Uni,3,3
Bulgarie,2,4
Russie,2,4
Chypre,1,6
Egypte,1,6
Liban,1,6
Philippines,1,6
Pologne,1,6
2022,,
Pays de citoyenneté,Positions,Rang
Estonie,33,1
Philippines,30,2
Maroc,3,3
Irlande,2,4
Macao,2,4
Mexique,2,4
Emirats Arabes Unis,2,4
Liban,1,8
Russie,1,8
Arabie Saudite,1,8
2023,,
Pays de citoyenneté,Positions,Rang
Finlande,60,1
Estonie,19,2
Philippines,14,3
Qatar,2,4
Honduras,1,5
Inde,1,5
Espagne,1,5
Sri Lanka,1,5
Suisse,1,5
Emirats Arabes Unis,1,5
Notes: ,,
1. Tous les renseignements utilisés dans la présente publication sont issus du Système d’Évaluation de l'impact sur le marché du travail (SEIMT) d'Emploi et Développement social Canada.,,
"2. Le « pays de résidence » du TET est déclaré par les employeurs et n'est pas un champ obligatoire dans les demandes d'EIMT. Lorsque le « pays de résidence » n’est pas fourni, cette information n’est pas incluse dans le rapport.",,
"3. Chaque demande d’EIMT soumisses est limité à une seule profession, tel qu’établis par la CNP. Cependant, l’application pourrait comprendre plusieurs positions (par exemple: cinq soudeurs).",,
"4. Les données issues du SEIMT concernent le nombre de postes de TÉTs visés, et non le nombre de permis de travail délivrés. Pour obtenir des renseignements sur le nombre de permis de travail délivrés, consultez le document: Faits et chiffres d’Immigration, Réfugiés et Citoyenneté Canada (IRCC) : www.cic.gc.ca/francais/ressources/statistiques/menu-faits.asp.",,
"5. Les chiffres indiqués dans la présente publication peuvent différer légèrement de ceux contenus dans les versions précédentes des statistiques des EIMT, en raison des mises à jour des données qui ont eu lieu entre temps.",,
"6. À compter de la publication des données annuelles de 2023 (publié en avril 2024), toutes les EIMT à l'appui de la "" résidence permanente (RP) seulement "" sont incluses dans les statistiques du PTET, sauf indication contraire. Toutes les données annuelles de ce rapport incluent les EIMT de la RP uniquement.. Les EIMT à double intention et les postes correspondants sont inclus dans leur volet respectif du PTET (p. ex., bas salaire, haut salaire, etc.), ce qui peut avoir une incidence sur les rapports du programme au fil du temps.",,
