"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC), and province/territory",,,,,,,,
Canada,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
1411 - General office support workers,6,0,1,6,4,4,24,80
1414 - Receptionists,0,0,1,8,3,1,28,125
1415 - Personnel clerks,0,0,0,0,0,1,6,5
1416 - Court clerks,0,0,0,0,0,0,0,0
1422 - Data entry clerks,3,0,1,1,5,1,4,22
1423 - Desktop publishing operators and related occupations,0,0,0,0,0,0,0,1
1431 - Accounting and related clerks,4,0,0,1,4,3,13,25
1432 - Payroll clerks,0,0,0,1,1,0,1,13
"1434 - Banking, insurance and other financial clerks",0,0,0,0,0,0,1,6
1435 - Collectors,0,0,0,0,0,0,1,0
1451 - Library assistants and clerks,0,0,0,0,0,0,0,0
"1452 - Correspondence, publication and regulatory clerks",0,0,0,0,0,0,0,0
1454 - Survey interviewers and statistical clerks,0,0,0,0,0,0,0,0
"1511 - Mail, postal and related workers",0,0,0,0,0,1,0,6
1512 - Letter carriers,0,0,0,0,0,0,0,1
"1513 - Couriers, messengers and door-to-door distributors",0,0,0,0,1,0,1,6
1521 - Shippers and receivers,13,1,6,43,29,43,238,224
1522 - Storekeepers and partspersons,6,3,1,6,18,20,29,84
1523 - Production logistics co-ordinators,4,1,2,0,3,1,15,79
1524 - Purchasing and inventory control workers,0,3,0,4,2,1,25,58
1525 - Dispatchers,1,1,3,16,4,7,37,116
1526 - Transportation route and crew schedulers,1,0,0,0,0,1,2,6
2111 - Physicists and astronomers,11,8,9,5,8,10,17,11
2112 - Chemists,8,17,10,15,11,20,85,60
2113 - Geoscientists and oceanographers,12,8,4,3,14,10,13,5
2114 - Meteorologists and climatologists,2,1,0,0,1,0,0,0
2115 - Other professional occupations in physical sciences,1,0,1,1,4,0,5,3
2121 - Biologists and related scientists,18,32,7,17,8,31,23,30
2122 - Forestry professionals,2,0,0,0,1,0,0,0
"2123 - Agricultural representatives, consultants and specialists",5,1,1,1,1,1,0,6
2131 - Civil engineers,74,20,14,22,23,21,38,66
2132 - Mechanical engineers,81,62,21,34,21,33,59,74
2133 - Electrical and electronics engineers,77,65,28,26,21,24,48,104
2134 - Chemical engineers,2,5,4,2,12,5,10,5
2141 - Industrial and manufacturing engineers,11,6,9,10,13,12,30,47
2142 - Metallurgical and materials engineers,6,2,1,6,2,5,10,8
2143 - Mining engineers,4,1,3,1,1,1,2,6
2144 - Geological engineers,6,1,1,2,0,1,7,5
2145 - Petroleum engineers,21,9,0,1,1,10,14,12
2146 - Aerospace engineers,32,17,9,5,7,7,7,26
2147 - Computer engineers (except software engineers and designers),21,22,39,80,67,91,159,149
"2148 - Other professional engineers, n.e.c.",19,8,17,14,16,9,13,14
2151 - Architects,8,2,4,3,5,4,12,9
2152 - Landscape architects,3,0,1,0,1,1,1,5
2153 - Urban and land use planners,1,1,1,0,0,1,1,3
2154 - Land surveyors,50,48,0,15,0,1,6,3
"2161 - Mathematicians, statisticians and actuaries",5,10,6,15,11,14,12,13
2171 - Information systems analysts and consultants,300,301,542,921,620,"1,077","2,085","1,494"
2172 - Database analysts and data administrators,36,40,85,125,150,167,306,294
2173 - Software engineers and designers,570,762,908,"1,142","1,176","1,305","2,297","1,028"
2174 - Computer programmers and interactive media developers,381,576,902,"1,306",952,"1,523","2,663","1,515"
2175 - Web designers and developers,124,158,187,320,242,300,454,490
2211 - Chemical technologists and technicians,16,23,7,18,22,25,70,92
2212 - Geological and mineral technologists and technicians,24,11,12,12,10,7,15,18
2221 - Biological technologists and technicians,4,11,5,7,9,1,28,32
2222 - Agricultural and fish products inspectors,0,1,0,0,1,0,0,3
2223 - Forestry technologists and technicians,0,0,0,0,1,0,5,7
2224 - Conservation and fishery officers,0,0,0,0,0,0,0,0
2225 - Landscape and horticulture technicians and specialists,100,113,76,118,67,129,239,330
2231 - Civil engineering technologists and technicians,23,22,8,18,18,16,76,95
2232 - Mechanical engineering technologists and technicians,350,197,148,168,104,103,247,212
2233 - Industrial engineering and manufacturing technologists and technicians,52,78,41,64,57,70,89,116
2234 - Construction estimators,31,19,9,15,17,24,43,46
2241 - Electrical and electronics engineering technologists and technicians,226,144,70,83,58,45,184,214
2242 - Electronic service technicians (household and business equipment),61,71,54,75,53,54,99,100
2243 - Industrial instrument technicians and mechanics,278,158,140,142,52,66,61,98
"2244 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",9,10,2,6,3,4,2,6
2251 - Architectural technologists and technicians,14,7,7,20,15,21,53,40
2252 - Industrial designers,16,8,9,10,11,8,29,37
2253 - Drafting technologists and technicians,54,64,40,70,69,40,144,143
2254 - Land survey technologists and technicians,16,9,13,3,11,12,35,23
2255 - Technical occupations in geomatics and meteorology,106,20,9,1,18,0,2,4
2261 - Non-destructive testers and inspection technicians,86,38,60,29,15,15,39,50
2262 - Engineering inspectors and regulatory officers,4,20,19,17,6,1,4,2
2263 - Inspectors in public and environmental health and occupational health and safety,78,121,139,9,20,28,27,31
2264 - Construction inspectors,6,14,15,6,1,3,9,16
"2271 - Air pilots, flight engineers and flying instructors",65,44,69,80,40,41,85,90
2272 - Air traffic controllers and related occupations,2,1,7,2,0,0,5,1
"2273 - Deck officers, water transport",238,265,169,227,141,90,89,116
"2274 - Engineer officers, water transport",229,204,95,151,101,80,71,86
2275 - Railway traffic controllers and marine traffic regulators,0,1,0,0,0,0,0,0
2281 - Computer network technicians,67,47,41,74,85,124,269,278
2282 - User support technicians,55,35,32,54,108,73,148,230
2283 - Information systems testing technicians,23,35,26,58,42,50,77,100
3011 - Nursing co-ordinators and supervisors,0,0,0,1,0,0,2,4
3012 - Registered nurses and registered psychiatric nurses,81,36,65,372,338,377,509,612
3111 - Specialist physicians,200,187,125,120,114,119,127,194
3112 - General practitioners and family physicians,188,94,72,53,98,72,131,216
3113 - Dentists,8,9,12,10,14,4,17,9
3114 - Veterinarians,9,10,17,18,13,38,70,50
3121 - Optometrists,0,1,2,0,0,1,1,1
3122 - Chiropractors,1,3,0,2,0,0,0,1
3124 - Allied primary health practitioners,1,1,0,0,1,2,1,7
3125 - Other professional occupations in health diagnosing and treating,7,3,1,1,2,5,9,7
3131 - Pharmacists,22,4,2,1,3,2,4,16
3132 - Dietitians and nutritionists,1,0,0,0,1,2,1,2
3141 - Audiologists and speech-language pathologists,2,3,3,3,5,5,9,6
3142 - Physiotherapists,11,4,5,4,8,24,54,46
3143 - Occupational therapists,0,2,0,1,0,0,1,0
3144 - Other professional occupations in therapy and assessment,2,0,3,2,0,3,1,2
3211 - Medical laboratory technologists,0,0,1,0,0,2,3,3
3212 - Medical laboratory technicians and pathologists' assistants,0,0,0,0,1,1,4,14
3213 - Animal health technologists and veterinary technicians,6,12,13,12,25,58,115,64
"3214 - Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",1,3,1,4,4,1,0,6
3215 - Medical radiation technologists,11,1,0,0,2,1,6,21
3216 - Medical sonographers,3,6,0,0,2,3,3,4
"3217 - Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",2,0,0,0,1,1,1,2
3219 - Other medical technologists and technicians (except dental health),6,7,6,12,22,16,63,157
3221 - Denturists,0,1,0,1,0,0,3,3
3222 - Dental hygienists and dental therapists,1,2,1,4,5,5,7,2
"3223 - Dental technologists, technicians and laboratory assistants",33,42,44,44,35,35,61,59
3231 - Opticians,2,11,3,13,8,11,20,24
3232 - Practitioners of natural healing,10,26,23,25,20,14,24,26
3233 - Licensed practical nurses,12,3,4,11,24,21,32,61
3234 - Paramedical occupations,5,3,4,2,1,3,4,19
3236 - Massage therapists,6,4,18,39,29,13,37,21
3237 - Other technical occupations in therapy and assessment,9,5,5,11,19,16,31,48
3411 - Dental assistants,1,2,1,4,1,1,16,32
"3413 - Nurse aides, orderlies and patient service associates",24,23,16,159,438,526,"1,757","2,514"
3414 - Other assisting occupations in support of health services,1,1,0,3,4,7,27,83
4011 - University professors and lecturers,371,292,295,332,322,256,350,333
4012 - Post-secondary teaching and research assistants,0,3,0,1,6,13,24,36
4021 - College and other vocational instructors,92,58,48,32,28,25,49,54
4031 - Secondary school teachers,3,4,2,3,16,14,19,25
4032 - Elementary school and kindergarten teachers,11,10,5,11,125,67,70,67
4033 - Educational counsellors,2,5,2,4,5,2,10,4
4111 - Judges,0,0,3,1,0,1,0,0
4112 - Lawyers and Quebec notaries,1,3,2,4,2,2,2,7
4151 - Psychologists,3,8,2,5,16,4,14,15
4152 - Social workers,1,0,0,0,4,18,52,14
"4153 - Family, marriage and other related counsellors",4,2,2,2,3,2,2,4
4154 - Professional occupations in religion,32,19,4,4,2,1,2,7
4155 - Probation and parole officers and related occupations,0,0,0,0,0,0,0,0
4156 - Employment counsellors,0,0,1,0,0,0,0,0
"4161 - Natural and applied science policy researchers, consultants and program officers",4,6,1,0,2,5,8,4
4162 - Economists and economic policy researchers and analysts,9,9,7,8,9,7,8,13
4163 - Business development officers and marketing researchers and consultants,44,40,26,38,50,71,138,171
"4164 - Social policy researchers, consultants and program officers",2,2,2,2,2,3,3,7
"4165 - Health policy researchers, consultants and program officers",7,5,3,3,4,12,9,9
"4166 - Education policy researchers, consultants and program officers",4,3,2,1,4,6,11,17
"4167 - Recreation, sports and fitness policy researchers, consultants and program officers",4,8,10,1,2,0,5,7
4168 - Program officers unique to government,0,0,0,0,0,0,0,0
"4169 - Other professional occupations in social science, n.e.c.",0,2,1,0,1,2,4,1
4211 - Paralegal and related occupations,5,4,4,6,3,4,6,16
4212 - Social and community service workers,15,13,10,16,21,5,42,68
4214 - Early childhood educators and assistants,126,208,221,437,482,412,834,"1,423"
4215 - Instructors of persons with disabilities,6,4,2,5,0,1,5,5
4216 - Other instructors,11,11,8,10,6,4,11,20
4217 - Other religious occupations,23,6,1,7,7,4,6,4
4311 - Police officers (except commissioned),0,0,0,0,0,1,0,0
4312 - Firefighters,0,0,0,0,0,0,0,0
4313 - Non-commissioned ranks of the Canadian Forces,0,0,0,3,0,0,0,0
4411 - Home child care providers,"4,861","5,335","6,531","4,901","2,578","3,493","2,721","2,400"
"4412 - Home support workers, housekeepers and related occupations","1,226","1,473","1,926","1,494",889,"1,176","1,032","1,311"
4413 - Elementary and secondary school teacher assistants,0,0,0,1,0,0,7,13
4421 - Sheriffs and bailiffs,0,0,0,0,0,0,2,0
4422 - Correctional service officers,0,0,0,0,0,0,0,0
"4423 - By-law enforcement and other regulatory officers, n.e.c.",0,0,0,0,0,0,0,0
5111 - Librarians,0,0,0,0,0,0,0,1
5112 - Conservators and curators,3,6,1,3,2,1,3,0
5113 - Archivists,0,0,0,0,0,1,0,0
5121 - Authors and writers,15,6,10,9,8,2,9,9
5122 - Editors,8,6,1,5,3,5,15,7
5123 - Journalists,3,2,2,3,4,2,3,4
"5125 - Translators, terminologists and interpreters",32,34,118,26,0,2,7,10
"5131 - Producers, directors, choreographers and related occupations",604,388,381,382,188,258,420,310
"5132 - Conductors, composers and arrangers",15,4,2,4,1,0,3,3
5133 - Musicians and singers,48,32,23,14,3,4,13,10
5134 - Dancers,32,28,22,18,5,7,10,8
5135 - Actors and comedians,554,108,59,78,8,37,74,53
"5136 - Painters, sculptors and other visual artists",15,4,4,12,7,3,16,23
5211 - Library and public archive technicians,0,0,0,0,0,0,0,2
5212 - Technical occupations related to museums and art galleries,0,0,1,4,0,3,1,2
5221 - Photographers,57,34,30,37,14,12,27,26
5222 - Film and video camera operators,97,41,30,34,5,22,29,32
5223 - Graphic arts technicians,12,14,14,14,22,10,30,26
5224 - Broadcast technicians,1,0,1,2,2,2,2,1
5225 - Audio and video recording technicians,102,48,60,75,23,40,65,64
"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",143,80,114,64,33,15,39,35
"5227 - Support occupations in motion pictures, broadcasting, photography and the performing arts",96,39,57,37,8,20,14,13
5231 - Announcers and other broadcasters,23,13,14,25,9,6,13,16
"5232 - Other performers, n.e.c.",483,438,426,390,67,19,95,250
5241 - Graphic designers and illustrators,"1,770","1,295",940,"1,033",648,702,"1,418","1,050"
5242 - Interior designers and interior decorators,18,21,21,23,27,21,39,41
"5243 - Theatre, fashion, exhibit and other creative designers",63,24,21,31,11,16,18,33
5244 - Artisans and craftspersons,25,19,23,15,13,11,34,23
"5245 - Patternmakers - textile, leather and fur products",1,4,1,2,1,3,7,5
5251 - Athletes,73,71,84,59,20,8,6,29
5252 - Coaches,46,41,25,42,25,27,60,53
5253 - Sports officials and referees,0,1,1,0,0,0,4,0
"5254 - Program leaders and instructors in recreation, sport and fitness",197,234,233,232,92,140,264,206
6211 - Retail sales supervisors,663,685,570,"1,282","1,210","1,129","2,554","2,999"
6221 - Technical sales specialists - wholesale trade,112,82,49,80,82,104,174,198
6222 - Retail and wholesale buyers,68,64,52,67,76,36,71,72
6231 - Insurance agents and brokers,4,9,5,8,18,8,34,34
6232 - Real estate agents and salespersons,0,0,0,0,0,2,0,0
6235 - Financial sales representatives,5,2,5,3,5,2,6,10
6311 - Food service supervisors,"1,967","2,558","2,358","3,812","4,003","4,110","9,969","10,409"
6312 - Executive housekeepers,42,24,24,51,34,75,169,94
"6313 - Accommodation, travel, tourism and related services supervisors",79,121,99,165,117,118,232,221
6314 - Customer and information services supervisors,5,22,29,40,53,19,68,81
6315 - Cleaning supervisors,212,212,175,330,264,332,673,585
6316 - Other services supervisors,60,67,62,108,87,79,238,248
6321 - Chefs,317,356,331,501,354,350,788,758
6322 - Cooks,"2,668","3,043","3,162","5,507","4,373","4,993","12,298","11,977"
"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",166,238,176,206,514,670,"1,050","1,226"
6332 - Bakers,181,190,194,317,352,389,"1,041","1,130"
6341 - Hairstylists and barbers,152,231,277,367,300,263,633,629
"6342 - Tailors, dressmakers, furriers and milliners",14,38,62,120,64,72,197,183
6343 - Shoe repairers and shoemakers,1,4,0,3,2,1,6,6
"6344 - Jewellers, jewellery and watch repairers and related occupations",11,21,14,18,16,12,34,29
6345 - Upholsterers,25,29,49,57,16,75,168,116
6346 - Funeral directors and embalmers,0,0,0,0,1,1,2,1
6411 - Sales and account representatives - wholesale trade (non-technical),8,7,7,11,5,2,12,41
6421 - Retail salespersons,39,25,12,40,17,32,305,502
6511 - Maîtres d'hôtel and hosts/hostesses,0,1,0,1,1,5,22,25
6512 - Bartenders,1,0,4,16,4,4,26,48
6513 - Food and beverage servers,98,61,49,127,73,82,324,687
6521 - Travel counsellors,2,2,2,4,2,0,1,8
6522 - Pursers and flight attendants,9,13,2,4,1,2,3,0
6523 - Airline ticket and service agents,0,0,0,0,0,0,0,3
"6524 - Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,0,0,0,0,0
6525 - Hotel front desk clerks,24,28,6,56,36,24,211,330
6531 - Tour and travel guides,78,45,19,20,5,2,6,6
6532 - Outdoor sport and recreational guides,97,74,80,119,30,77,155,190
6533 - Casino occupations,0,0,0,0,0,0,0,0
6541 - Security guards and related security service occupations,12,5,5,8,2,2,37,96
6551 - Customer services representatives - financial institutions,0,0,0,0,0,1,14,47
6552 - Other customer and information services representatives,2,2,0,3,6,6,26,65
"6561 - Image, social and other personal consultants",0,0,3,3,2,0,0,0
"6562 - Estheticians, electrologists and related occupations",20,49,47,126,82,126,442,"1,149"
6563 - Pet groomers and animal care workers,32,26,28,43,27,19,42,41
6564 - Other personal service occupations,1,3,4,3,3,3,9,3
6611 - Cashiers,47,22,4,50,12,5,224,887
6621 - Service station attendants,11,2,0,2,2,0,21,10
"6622 - Store shelf stockers, clerks and order fillers",10,6,0,3,8,2,229,496
6623 - Other sales related occupations,42,31,42,0,2,31,36,56
"6711 - Food counter attendants, kitchen helpers and related support occupations",198,99,170,580,222,19,"4,478","8,333"
"6721 - Support occupations in accommodation, travel and facilities set-up services",0,0,3,0,1,0,10,11
"6722 - Operators and attendants in amusement, recreation and sport",206,150,249,429,97,124,360,445
6731 - Light duty cleaners,160,170,201,486,225,433,"2,524","3,043"
6732 - Specialized cleaners,23,48,45,101,164,60,453,442
"6733 - Janitors, caretakers and building superintendents",2,12,3,32,35,29,220,432
"6741 - Dry cleaning, laundry and related occupations",6,5,4,19,15,28,103,110
"6742 - Other service support occupations, n.e.c.",26,17,23,33,24,14,17,37
"7201 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",36,12,15,9,64,28,20,31
"7202 - Contractors and supervisors, electrical trades and telecommunications occupations",43,52,22,23,10,18,19,19
"7203 - Contractors and supervisors, pipefitting trades",6,1,1,2,3,0,0,9
"7204 - Contractors and supervisors, carpentry trades",50,46,67,81,37,62,87,104
"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers",131,131,106,144,91,95,174,183
7231 - Machinists and machining and tooling inspectors,137,220,385,593,447,546,"1,286","1,084"
7232 - Tool and die makers,17,16,18,22,20,23,78,68
7233 - Sheet metal workers,37,22,20,36,36,39,174,132
7234 - Boilermakers,17,0,37,0,0,0,32,3
7235 - Structural metal and platework fabricators and fitters,81,34,24,63,32,51,178,163
7236 - Ironworkers,31,23,44,98,32,105,169,189
7237 - Welders and related machine operators,371,319,560,946,"1,064",983,"2,542","2,071"
7241 - Electricians (except industrial and power system),97,81,97,134,81,104,201,174
7242 - Industrial electricians,130,43,54,47,63,110,67,74
7243 - Power system electricians,2,0,0,0,0,0,0,1
7244 - Electrical power line and cable workers,139,184,16,16,6,21,7,85
7245 - Telecommunications line and cable workers,28,23,33,49,24,56,195,56
7246 - Telecommunications installation and repair workers,33,28,22,58,36,66,91,136
7247 - Cable television service and maintenance technicians,6,3,1,2,0,4,1,4
7251 - Plumbers,79,71,92,123,102,79,203,214
"7252 - Steamfitters, pipefitters and sprinkler system installers",185,25,28,20,33,16,29,106
7253 - Gas fitters,0,1,5,0,3,0,5,8
7271 - Carpenters,631,625,773,"1,212",959,"1,258","2,474","2,209"
7272 - Cabinetmakers,78,96,107,157,173,174,423,429
7281 - Bricklayers,86,112,168,152,117,159,279,213
7282 - Concrete finishers,259,354,325,417,342,342,831,797
7283 - Tilesetters,154,145,120,205,165,173,288,272
"7284 - Plasterers, drywall installers and finishers and lathers",262,468,307,749,437,643,"1,059","1,031"
7291 - Roofers and shinglers,173,271,227,465,312,433,815,687
7292 - Glaziers,78,37,45,97,64,97,285,153
7293 - Insulators,33,44,40,49,55,51,110,87
7294 - Painters and decorators (except interior decorators),198,176,148,308,270,382,689,855
7295 - Floor covering installers,86,66,66,65,45,78,216,203
"7301 - Contractors and supervisors, mechanic trades",38,23,23,29,24,34,48,52
"7302 - Contractors and supervisors, heavy equipment operator crews",111,84,83,85,80,75,155,110
"7303 - Supervisors, printing and related occupations",13,6,8,8,8,7,22,14
"7304 - Supervisors, railway transport operations",1,0,0,0,0,0,1,1
"7305 - Supervisors, motor transport and other ground transit operators",34,48,36,70,46,68,72,89
7311 - Construction millwrights and industrial mechanics,132,56,116,153,210,182,535,493
7312 - Heavy-duty equipment mechanics,107,71,137,246,266,240,796,944
7313 - Refrigeration and air conditioning mechanics,54,17,20,13,20,31,77,96
7314 - Railway carmen/women,2,0,0,0,0,0,1,0
7315 - Aircraft mechanics and aircraft inspectors,33,69,49,66,71,7,122,68
7316 - Machine fitters,20,1,3,11,3,6,29,38
7318 - Elevator constructors and mechanics,3,2,1,7,0,7,6,16
"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers",152,161,251,518,548,418,"1,421","1,719"
7322 - Motor vehicle body repairers,49,65,96,254,266,114,453,749
7331 - Oil and solid fuel heating mechanics,1,1,2,0,1,1,3,0
7332 - Appliance servicers and repairers,17,12,13,20,23,37,102,101
7333 - Electrical mechanics,24,19,63,99,121,114,495,450
"7334 - Motorcycle, all-terrain vehicle and other related mechanics",6,5,11,8,24,12,38,80
7335 - Other small engine and small equipment repairers,1,10,2,6,11,11,39,39
7361 - Railway and yard locomotive engineers,0,0,0,0,0,0,0,0
7362 - Railway conductors and brakemen/women,0,0,1,0,0,0,0,0
7371 - Crane operators,56,26,8,46,76,58,46,66
"7372 - Drillers and blasters - surface mining, quarrying and construction",18,15,26,18,11,8,55,60
7373 - Water well drillers,0,0,2,2,0,9,2,1
7381 - Printing press operators,8,7,4,15,26,18,134,122
"7384 - Other trades and related occupations, n.e.c.",105,150,78,83,101,114,264,104
7441 - Residential and commercial installers and servicers,42,31,74,246,282,158,475,554
7442 - Waterworks and gas maintenance workers,11,6,0,0,0,0,0,1
7444 - Pest controllers and fumigators,0,2,1,2,0,4,4,5
7445 - Other repairers and servicers,11,23,18,18,10,10,29,29
7451 - Longshore workers,0,0,0,0,0,0,0,0
7452 - Material handlers,23,20,49,149,154,207,"1,445","1,468"
7511 - Transport truck drivers,"1,079","1,693","1,584","5,052","4,095","3,299","7,514","7,297"
"7512 - Bus drivers, subway operators and other transit operators",11,4,2,5,8,3,56,85
7513 - Taxi and limousine drivers and chauffeurs,0,1,1,16,1,13,44,13
7514 - Delivery and courier service drivers,5,8,16,42,38,22,197,311
7521 - Heavy equipment operators (except crane),69,90,95,99,91,52,445,361
7522 - Public works maintenance equipment operators and related workers,0,0,10,8,13,15,44,22
7531 - Railway yard and track maintenance workers,0,0,1,6,0,0,0,3
7532 - Water transport deck and engine room crew,331,275,186,178,125,116,98,135
7533 - Boat and cable ferry operators and related occupations,7,0,0,0,0,1,0,0
7534 - Air transport ramp attendants,0,0,0,1,0,0,9,10
7535 - Other automotive mechanical installers and servicers,1,17,7,74,34,43,220,323
7611 - Construction trades helpers and labourers,129,148,132,609,632,870,"3,665","5,353"
7612 - Other trades helpers and labourers,49,43,88,121,146,145,383,670
7621 - Public works and maintenance labourers,3,6,0,4,0,4,24,37
7622 - Railway and motor transport labourers,0,1,0,4,11,5,19,42
"8211 - Supervisors, logging and forestry",3,0,0,1,1,0,2,5
"8221 - Supervisors, mining and quarrying",8,10,2,1,0,0,0,0
"8222 - Contractors and supervisors, oil and gas drilling and services",22,25,25,19,25,11,29,61
8231 - Underground production and development miners,3,10,22,0,9,0,2,2
"8232 - Oil and gas well drillers, servicers, testers and related workers",48,28,19,9,10,18,37,43
8241 - Logging machinery operators,0,5,0,42,12,35,13,79
