"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC) skill level and management group of occupations, and province/territory",,,,,,,,
Canada,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
D - Elemental and Labourers,"1,101","1,383","1,169","2,492","3,589","2,911","11,001","8,612"
Quebec - Total,"20,311","17,616","21,257","33,590","32,956","35,699","66,794","62,206"
Ontario,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,600,591,615,796,"1,020","1,010","1,578","2,246"
A - Professionals,"1,329","1,199","1,385","1,790","1,573","2,009","3,621","3,156"
B - Skilled and Technical,"3,221","4,001","4,236","5,862","7,126","6,638","14,489","19,783"
C - Intermediate and Clerical,"24,770","32,305","32,825","31,057","29,667","33,088","37,298","43,675"
D - Elemental and Labourers,506,"1,018","1,846","1,921","2,104","2,451","5,032","5,761"
Ontario - Total,"30,426","39,114","40,907","41,426","41,496","45,196","62,020","74,625"
Manitoba,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,16,13,20,37,24,28,46,60
A - Professionals,80,63,122,69,58,106,126,111
B - Skilled and Technical,221,233,256,300,269,356,"1,112","1,446"
C - Intermediate and Clerical,761,839,901,"1,353","1,415","1,183","1,973","2,335"
D - Elemental and Labourers,170,176,160,193,7,185,623,724
Manitoba - Total,"1,248","1,324","1,459","1,952","1,773","1,858","3,880","4,676"
Saskatchewan,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,19,18,10,14,15,24,23,39
A - Professionals,65,58,54,44,39,54,63,34
B - Skilled and Technical,391,321,332,453,288,327,938,932
C - Intermediate and Clerical,638,659,669,913,794,785,"1,167","1,546"
D - Elemental and Labourers,53,34,33,42,28,28,256,573
Saskatchewan - Total,"1,166","1,090","1,098","1,466","1,164","1,218","2,447","3,124"
Alberta,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,511,326,181,272,165,221,386,441
A - Professionals,400,235,231,294,198,308,784,671
B - Skilled and Technical,"5,195","4,987","4,208","6,518","4,109","5,243","13,288","11,788"
C - Intermediate and Clerical,"3,557","3,644","4,162","5,214","3,475","3,162","6,345","8,226"
D - Elemental and Labourers,569,387,242,642,171,177,"2,647","6,381"
Alberta - Total,"10,232","9,579","9,024","12,940","8,118","9,112","23,450","27,507"
British Columbia,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,483,564,460,863,"1,207","1,013","1,411","1,176"
A - Professionals,"1,221","1,039",904,"1,064","1,061","1,113","1,769","1,024"
B - Skilled and Technical,"6,417","6,935","7,063","11,463","9,355","10,029","17,277","16,045"
C - Intermediate and Clerical,"11,323","13,175","19,431","16,912","17,363","16,224","20,581","28,615"
D - Elemental and Labourers,557,728,881,"1,977","1,875","2,141","6,366","6,435"
British Columbia - Total,"20,001","22,441","28,739","32,284","30,861","30,520","47,404","53,295"
Yukon,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,1,1,1,1,1,3,1,0
A - Professionals,59,50,58,60,24,76,82,73
B - Skilled and Technical,40,52,36,45,8,44,53,43
C - Intermediate and Clerical,5,13,12,26,7,3,8,10
D - Elemental and Labourers,2,3,0,7,0,0,13,10
Yukon - Total,107,119,107,139,40,126,157,136
Northwest Territories,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,3,2,1,5,0,2,4,2
A - Professionals,1,1,0,1,0,0,1,1
B - Skilled and Technical,24,24,8,31,19,15,87,54
C - Intermediate and Clerical,36,18,12,13,9,6,2,15
D - Elemental and Labourers,0,1,0,6,1,7,38,52
Northwest Territories - Total,64,46,21,56,29,30,132,124
Nunavut,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,2,1,4,0,1,0,2,0
A - Professionals,7,14,8,1,0,5,0,3
B - Skilled and Technical,31,10,57,71,29,43,56,84
C - Intermediate and Clerical,102,16,50,58,15,13,18,25
D - Elemental and Labourers,3,0,13,3,1,2,12,10
Nunavut - Total,145,41,132,133,46,63,88,122
Notes:,,,,,,,,
1. The source for all information in this release is Employment and Social Development Canada's (ESDC) LMIA System. ,,,,,,,,
"2. Effective November 2016, NOC 2011 is being used. Prior to November 2016, all occupations under NOC 2006 had been converted to the respective NOC 2011 occupation. Empirical concordance released by Statistics was used to determine appropriate linkages.",,,,,,,,
"3. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).

",,,,,,,,
"4. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",,,,,,,,
5. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,
"6. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.",,,,,,,,
