Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by Statistics Canada economic region and province/territory,,,,,,,,
Newfoundland and Labrador,,,,,,,,
Economic Region,2016,2017,2018,2019,2020,2021,2022,2023
4850 - Red Deer ,395,442,456,507,417,428,"1,177","1,143"
4860 - Edmonton ,"3,300","2,822","2,563","4,210","2,244","2,763","8,063","9,449"
4870 - Athabasca--Grande Prairie--Peace River ,680,767,783,"1,127",632,803,"1,585","1,716"
4880 - Wood Buffalo--Cold Lake ,531,610,514,536,414,407,856,900
Other ,168,244,202,117,52,38,101,470
Alberta - Total,"10,232","9,579","9,024","12,940","8,118","9,112","23,450","27,507"
British Columbia,,,,,,,,
Economic Region,2016,2017,2018,2019,2020,2021,2022,2023
5910 - Vancouver Island and Coast ,"1,491",892,916,"1,302","1,278","1,573","3,281","3,121"
5920 - Lower Mainland--Southwest ,"13,310","16,153","19,701","22,890","21,178","20,722","31,660","35,183"
5930 - Thompson--Okanagan ,"4,243","4,420","6,830","6,299","6,949","6,882","9,487","11,694"
5940 - Kootenay ,224,242,459,446,599,479,"1,162","1,660"
5950 - Cariboo ,156,151,265,446,326,245,518,584
5960 - North Coast ,61,40,86,164,119,155,357,309
5970 - Nechako ,28,28,36,111,73,128,244,182
5980 - Northeast ,78,113,136,255,110,227,441,435
Other ,410,402,310,371,229,109,254,127
British Columbia - Total,"20,001","22,441","28,739","32,284","30,861","30,520","47,404","53,295"
Yukon,,,,,,,,
Economic Region,2016,2017,2018,2019,2020,2021,2022,2023
6010 - Yukon ,107,119,107,139,40,126,157,136
Yukon - Total,107,119,107,139,40,126,157,136
Northwest Territories,,,,,,,,
Economic Region,2016,2017,2018,2019,2020,2021,2022,2023
6110 - Northwest Territories ,64,46,21,56,29,30,132,124
Northwest Territories - Total,64,46,21,56,29,30,132,124
Nunavut,,,,,,,,
Economic Region,2016,2017,2018,2019,2020,2021,2022,2023
6210 - Nunavut ,145,41,132,133,46,63,88,122
Nunavut - Total,145,41,132,133,46,63,88,122
Canada,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
Canada - Total,"90,314","98,146","108,988","130,457","125,279","133,196","222,847","239,646"
Notes:,,,,,,,,
1. The source for all information in this release is Employment and Social Development Canada's (ESDC) LMIA System. ,,,,,,,,
"2. An economic region is defined by Statistics Canada as a grouping of complete Census Divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. There are 76 economic regions across Canada. In Ontario, there is one exception where the employers’ boundary does not respect census division boundaries: The census division of Halton is split between the employers of Hamilton–Niagara Peninsula and the employers of Toronto.",,,,,,,,
"3. ""Other"" indicates that the location of employment includes more than one distinct economic region within the same province.",,,,,,,,
"4. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).

",,,,,,,,
"5. The LMIA system tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",,,,,,,,
6. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,
"7. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.",,,,,,,,
